,bvdid,priority,ListLabel,Typology,EntryType,Name,InternalID_1,InternalID_1_type,InternalID_2,InternalID_2_type,InternalID_3,InternalID_3_type,CoType,License_Type,Address_1,Address_2,City,Zip,Cntry,Phone,Fax,Website,Email,RegulationType,RegulationTypeCode,RegulationDate,CancellationDate,RegCtry,RegCode,ListCode,ListLanguage,ListValidityDate,ListName,ListProcessDate,LEI Code,BIC SWIFT Code,Name - Mother Company,Address_1 - Mother company,Address_2 -  Mother company,City - Mother company,Zip - Mother company,Cntry - Mother company,Phone - Mother company,Check
97,,,,,,"RONGSHENG PROPERTY & CASUALTY INSURANCE CO., LTD.",000238,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
98,,,,,,Hero Mutual Property Insurance Corporation,000225,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
99,,,,,,"Dajia Property & Casualty Insurance Co ., Ltd.",000242,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
100,,,,,,"China Rong Tong Property & Casualty Insurance Co.,Ltd.",000255,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
101,,,,,,China Fishery Mutual Insurance Corporation,000257,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
102,,,,,,"Shenergy Property & Casualty Insurance Co.,Ltd.",000262,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
103,,,,,,China Property & Casualty Reinsurance Company Ltd.,000008,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
104,,,,,,China Life Reinsurance Company Ltd.,000009,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
105,,,,,,XL Reinsurance (China) Company Limited,000147,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
106,,,,,,Taiping Reinsurance(China)Company Limited,000201,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
107,,,,,,Qianhai Reinsurance Company Ltd.,000215,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
108,,,,,,PICC Reinsurance Company Limited,000222,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
109,,,,,,China Agriculture Reinsurance Corporation,000248,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
110,,,,,,China Life Insurance Company Limited,000005,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
111,,,,,,"CHINA PACIFIC LIFE INSURANCE CO.,LTD.",000015,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
112,,,,,,"Ping An Life Insurance Company of China, Ltd.",000018,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
113,,,,,,NEW CHINA LIFE INSURANCE COMPANY LTD.,000019,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
114,,,,,,Taiping Life Insurance Company Limited,000027,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
115,,,,,,"Manulife-Sinochem Life Insurance CO.,LTD.",000028,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
116,,,,,,CCB Life Insurance Company Limited,000029,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
